"Date","Site","Temp_C","Log_SpCond_mScm","Log_Cond_mScm","Log_TDS_mgl","Log_Sal_ppt","DO_percent","DO_mgL","pH","Month","Year","Season","Log_Unfiltered_TN_ugL","Log_Filtered_NOx_ugL","Log_Filtered_NHx_ugL","Log_Unfiltered_TP_ugL","Filtered_OP_ugL","Log_TSS_mgL","fecal_coliform_colonies_per100mL"
"2016-03-08","WT4",9.85,0.349247428109936,0.260053905334307,0.24059046491793,0.182321556793955,88,9.96,7.22,3,2016,"Spring",6.485144012039,4.8283137373023,3.93834031374552,3.48635519000246,6.66666666666667,2.42774823594805,46.6666666666667
"2016-03-08","WT1",10.25,0.347835995271528,0.261594737688462,0.2390169004705,0.182321556793955,90.4,10.13,7.25,3,2016,"Spring",6.25766758788264,4.33510971488613,3.20545280453606,3.14988295338125,7.66666666666667,1.67397643357167,30
"2016-03-08","AN2",9.12,0.247641022914597,0.17898265552844,0.16805358499625,0.122217632724249,83.2,9.55,7.23,3,2016,"Spring",6.15415012938508,4.01337549968843,2.73002910782098,3.06027079469156,5.66666666666667,1.67397643357167,28.3333333333333
"2016-03-08","AN4",11.1,0.132781111233818,0.0989399478549036,0.0880108773227134,0.0676586484738149,60.9,6.67,7.42,3,2016,"Spring",6.13772705408623,3.97656152656572,1.6094379124341,2.89037175789616,7.66666666666667,1.84582669049833,43.3333333333333
"2016-03-08","AN3",10.37,0.227135572583747,0.168898536461814,0.153579087928301,0.113328685307003,90.4,10.1,7.31,3,2016,"Spring",6.4494166812669,1.79175946922805,2.12026353620009,4.56434819146784,6.66666666666667,2.39789527279837,68.3333333333333
"2016-03-08","AN0",9.7,0.343589704390077,0.254642218373581,0.236651901339002,0.182321556793955,87.4,9.9,7.42,3,2016,"Spring",6.51273542873551,4.85203026391962,3.16406758837321,3.04452243772342,7.33333333333333,1.67397643357167,55
"2016-03-08","P51",11.57,0.12751332029896,0.0962188577405429,0.084341148433751,0.0582689081239758,35.6,3.86,7.6,3,2016,"Spring",6.87523208727658,3.3322045101752,6.00963185106343,4.5503619494931,9,2.45673577282131,6.66666666666667
"2016-03-08","P53",12.38,0.0953101798043249,0.0723206615796261,0.0629747991613884,0.048790164169432,47.6,5.09,7.46,3,2016,"Spring",6.67750318843063,3.46573590279973,5.58974242527865,3.10608033072285,14,1.67397643357167,0
"2016-03-08","P3D",12.56,0.417393678973438,0.332894415273329,0.290428298119806,0.22314355131421,104.2,11.05,7.4,3,2016,"Spring",7.952615111651,7.39674420813895,1.46633706879343,2.59026716544582,14,2.19722457733622,35
"2016-03-08","CP3",11.74,0.364643113587909,0.283674051054242,0.251536625815428,0.19062035960865,95.9,10.36,7.46,3,2016,"Spring",6.82726802806945,6.07840647724179,3.10608033072285,3.36729582998647,17.3333333333333,2.33537491581704,26.6666666666667
"2016-03-08","CP1",13.24,0.407463110770838,0.327863862084613,0.280657457514817,0.215111379616945,88.1,9.27,7.41,3,2016,"Spring",6.98533341362752,5.46946562274386,3.28341434600577,5.18738580584075,116.666666666667,1.6094379124341,1.66666666666667
"2016-03-08","CP2",11.22,0.534737443812303,0.419368013277156,0.377751269540649,0.300104592450338,52.3,5.71,7.29,3,2016,"Spring",6.31716468674728,6.11736271398336,1.46633706879343,2.66258782702545,10.3333333333333,2.07944154167984,31.6666666666667
"2016-04-06","WT5",12.42,0.262364264467491,0.205386829724951,0.178146185383474,0.131028262406404,96,10.21,5.43,4,2016,"Spring",6.80091218336409,5.6021188208797,5.3082676974012,4.16924587039522,16,3.63758615972639,226.666666666667
"2016-04-06","WT3",9.42,0.19638881400539,0.142367241286922,0.131905070879939,0.0953101798043249,86.8,9.93,NA,4,2016,"Spring",6.27413407773622,4.16924587039522,3.41224721784874,4.07753744390572,13,2.53897387105828,96.6666666666667
"2016-04-06","AN5",7.11,0.209450224182207,0.142367241286922,0.140631129739746,0.104360015324243,69.7,8.44,NA,4,2016,"Spring",6.13050158912519,0,3.39002408106403,4.07187170637004,12.6666666666667,2.99573227355399,116.666666666667
"2016-04-06","WT4",9.85,0.308954207727321,0.22872792960811,0.21107097007994,0.157003748809665,83.5,9.43,6.34,4,2016,"Spring",6.61338421837956,5.60088805149357,4.63148749430547,3.96398274435886,14.6666666666667,2.03688192726104,186.666666666667
"2016-04-06","WT1",10.61,0.29416103854949,0.221542269947236,0.200488860749404,0.148420005118273,94.6,10.51,6.55,4,2016,"Spring",6.33859407820318,5.01285505083457,4.54683460897513,4.13249632818648,14.3333333333333,1.84582669049833,125
"2016-04-06","AN2",10.21,0.222343231143441,0.164666621555234,0.150142658429719,0.113328685307003,80.7,9.04,6.33,4,2016,"Spring",6.26783285965949,4.37365838500337,4.43081679884331,4.19469253605638,23,2.75153531304195,73.3333333333333
"2016-04-06","AN4",8.66,0.138021297897375,0.0971267107307228,0.0916671885258239,0.0676586484738149,44.1,5.15,5.72,4,2016,"Spring",6.20050917404269,4.20469261939097,3.59273559356103,4.03128642625496,13.6666666666667,2.63905732961526,86.6666666666667
"2016-04-06","AN3",10.29,0.212689093410351,0.157003748809665,0.143234168085908,0.104360015324243,85.2,9.54,6.51,4,2016,"Spring",6.83769040453385,0,4.57126863431241,5.67332326717149,27,2.484906649788,28.3333333333333
"2016-04-06","AN0",9.1,0.340037302785709,0.248421358498478,0.233489843368354,0.182321556793955,92.9,10.69,6.45,4,2016,"Spring",6.25511004173152,5.30991650239139,4.0943445622221,4.03128642625496,38.6666666666667,1.54044504094715,80
"2016-04-06","P53",12.98,0.0815799869924228,0.0639133257436529,0.0535407669280298,0.0392207131532813,38.8,4.09,6.44,4,2016,"Spring",6.94569311832253,0.847297860387202,6.15131324804988,4.9744322454323,24,2.15948424935337,30
"2016-04-06","P51",13.15,0.0601539228197471,0.0468835858988505,0.0392207131532813,0.0295588022415444,42.2,4.41,6.22,4,2016,"Spring",6.58248671286825,0,5.75468680451797,4.23892579103321,30.3333333333333,1.79175946922805,38.3333333333333
"2016-04-06","P3D",11.99,0.417393678973438,0.3293037471426,0.290428298119806,0.22314355131421,104,11.19,6.84,4,2016,"Spring",7.64172445406234,6.66228090718291,3.32022831912849,3.54577861047326,23,2.07944154167984,93.3333333333333
"2016-04-06","CP3",15.11,0.22314355131421,0.184818436992542,0.150142658429719,0.113328685307003,95.9,9.63,7.3,4,2016,"Spring",6.24933153448058,5.35185813347607,3.91866754814681,4.41481645749687,14.3333333333333,2.03688192726104,16.6666666666667
"2016-04-06","CP1",12.81,0.417393678973438,0.334327080274825,0.289680075114454,0.22314355131421,101.1,10.66,7.26,4,2016,"Spring",6.76657566551936,6.18139596421608,4.52178857704904,5.08140436498446,NA,0.510825623765991,1.66666666666667
"2016-04-06","CP2",12.12,0.458689869345462,0.363948427905231,0.320633172591467,0.246860077931526,60,6.41,6.44,4,2016,"Spring",5.59347145383852,4.87773862062982,3.0122615755052,2.97892515523761,18.6666666666667,1.38629436111989,63.3333333333333
"2016-05-09","WT5",19.81,0.246860077931526,0.225540675913931,0.167207918983906,0.122217632724249,93,8.4,6.76,5,2016,"Spring",7.08562248542671,6.44994369050176,5.52146091786225,3.96398274435886,6.66666666666667,3.51650822817315,106.666666666667
"2016-05-09","WT3",17.04,0.21107097007994,0.182321556793955,0.142367241286922,0.104360015324243,78.6,7.57,6.09,5,2016,"Spring",6.50378904699771,5.07517381523383,4.77912349311153,3.71357206670431,3,3.06027079469156,125
"2016-05-09","AN5",17,0.212689093410351,0.183154543097847,0.143234168085908,0.104360015324243,63.8,6.14,6.15,5,2016,"Spring",6.4707995037826,4.63148749430547,5.02825689544608,3.51650822817315,3,3.3557350075854,105
"2016-05-09","WT4",18.68,0.271552690521897,0.242161557149972,0.173112617708645,0.139761942375159,71.4,6.65,6.95,5,2016,"Spring",6.93179727346237,6.38912147276833,4.95112116656385,3.97029191355212,6.33333333333333,2.19722457733622,91.6666666666667
"2016-05-09","WT1",18.84,0.254642218373581,0.227932068046007,0.15785808461558,0.131028262406404,83.9,7.76,6.93,5,2016,"Spring",6.50128967054039,5.77558620678518,4.36097322547605,3.59273559356103,4.33333333333333,2.15948424935337,96.6666666666667
"2016-05-09","AN2",17.38,0.234281295724666,0.20294084399669,0.0815799869924228,0.122217632724249,61.1,5.85,6.53,5,2016,"Spring",6.49375383985169,5.23466733947158,4.84155896405232,3.56482680544396,4,2.89037175789616,65
"2016-05-09","AN4",19.34,0.123102197133983,0.110646520087064,0.159564569671338,0.0582689081239758,53.5,4.9,6.9,5,2016,"Spring",6.51372454849963,5.11399380708341,4.69744546209727,3.69717825692863,3.33333333333333,2.68557734525015,90
"2016-05-09","AN3",17.61,0.236651901339002,0.206200830583898,0.155292884406035,0.122217632724249,71.5,6.81,6.65,5,2016,"Spring",7.14309087106171,3.56482680544396,6.11146733950268,4.83892391641431,21,2.26868354131836,41.6666666666667
"2016-05-09","AN0",17.42,0.23031775506221,0.199670195128568,0.043059489460447,0.113328685307003,66.4,6.33,6.58,5,2016,"Spring",6.45204895443723,5.59594976985298,4.03128642625496,3.56482680544396,27.3333333333333,2.66258782702545,125
"2016-05-09","P53",21.51,0.0667236320429081,0.0620353909194527,0.0353671438372913,0.0295588022415444,40.3,3.53,6.93,5,2016,"Spring",6.4377516497364,2.81341071676004,3.54577861047326,4.19469253605638,5.33333333333333,2.90872089656436,10
"2016-05-09","P51",21.84,0.0535407669280298,0.0506931143155182,0.235072122179484,0.0198026272961797,83.4,7.31,6.87,5,2016,"Spring",6.26149168432104,4.79854157896863,5.40267738187228,2.96183072187831,5.33333333333333,2.68557734525015,70
"2016-05-09","CP1",17.95,0.340748793388473,0.301584977620772,0.307484699747961,0.182321556793955,77.7,7.36,6.56,5,2016,"Spring",7.0619059588094,6.57134970680547,4.89783979995091,4.76785576826519,121.333333333333,1.29928298413026,25
"2016-05-09","CP2",16.48,0.445326641533295,0.383219499160845,0.142367241286922,0.2390169004705,43.1,4.16,6.01,5,2016,"Spring",5.83967219534885,4.53974238066564,3.14988295338125,3.65497790243826,9.66666666666667,2.23359222150709,35
"2016-05-09","CP3",19.62,0.211880359035499,0.192271887647123,0.270790204781563,0.104360015324243,89.4,8.17,7.44,5,2016,"Spring",5.9575629954323,5.35815736690405,3.39002408106403,2.15948424935337,5,1.6094379124341,98.3333333333333
"2016-06-08","WT5",23.3,0.158711691154821,0.153579087928301,4.72561633906396,0.0769610411361284,34.2,2.91,7.02,6,2016,"Summer",7.13780823859728,6.59121638006837,5.04771696900079,4.78749174278205,9.33333333333333,3.75341797525151,86.6666666666667
"2016-06-08","WT3",20.4,0.151862349309246,0.139761942375159,4.67842064772768,0.0769610411361284,45.1,4.03,7.09,6,2016,"Summer",6.51520639614052,5.8210715611793,2.79320800944251,3.61988658262698,2.33333333333333,2.92673940206704,165
"2016-06-08","AN5",19.9,0.181487876045377,0.164666621555234,4.8698394841308,0.0861776962410524,25.8,2.39,6.95,6,2016,"Summer",6.8939943637321,5.13186915891037,5.3082676974012,4.39032543748858,0.333333333333333,4.23410650459726,138.333333333333
"2016-06-08","WT4",21.3,0.225540675913931,0.19638881400539,5.02650864325255,0.104360015324243,47.9,4.24,7.14,6,2016,"Summer",7.50604217851812,7.04345099443603,4.25324584480796,4.46206934234742,9,2.87167962488401,173.333333333333
"2016-06-08","WT1",22.4,0.161268147596122,0.153579087928301,4.74319148388547,0.0769610411361284,61.5,5.34,7.15,6,2016,"Summer",6.72062216519096,6.26021860967424,3.40119738166216,4.52900882502253,7.33333333333333,2.03688192726104,143.333333333333
"2016-06-08","AN2",21.2,0.143234168085908,0.133656384812674,4.61611012602643,0.0676586484738149,37.6,3.32,7.06,6,2016,"Summer",6.63200177739563,5.65014725882357,3.47609868983527,4.03128642625496,6,3.25809653802148,111.666666666667
"2016-06-08","AN3",21.9,0.124868982045869,0.117783035656383,4.47049528266149,0.0582689081239758,13.4,1.19,6.86,6,2016,"Summer",7.16600854074311,4.58836306767171,5.41015684830357,5.25227342804663,4.33333333333333,3.3322045101752,80
"2016-06-08","AN4",20.7,0.134530892957606,0.123985979780991,4.54965747605783,0.0676586484738149,43.1,3.85,7.13,6,2016,"Summer",6.49878403154468,5.74939298590825,2.92673940206704,3.77658503453304,6,3.85721476893315,145
"2016-06-08","AN0",19.3,0.276873873735178,0.249980205267769,5.33945930987921,0.139761942375159,52.1,4.73,7.27,6,2016,"Summer",6.64941623576427,5.65365808747363,0,4.29955041284964,12,1.67397643357167,103.333333333333
"2016-06-08","P3D",19.6,0.3859424416193,0.352767319107715,5.72749900127352,0.207014169384326,80.7,7.4,8.37,6,2016,"Summer",8.59291890194437,8.11492297420459,3.48635519000246,3.94481282825114,36.6666666666667,NA,76.6666666666667
"2016-06-08","CP3",23.7,0.15785808461558,0.154436353304419,4.7202829930886,0.0769610411361284,83,7.02,7.7,6,2016,"Summer",6.61069604471776,4.60183128472258,2.39789527279837,4.74493212836325,0,2.51230562397611,78.3333333333333
"2016-06-08","CP2",19.8,0.394067063155795,0.361861470626032,5.76079272937298,0.207014169384326,83,7.56,7.73,6,2016,"Summer",5.81413053182507,5.33753807970132,0,2.30258509299405,6.33333333333333,1.99243016469021,110
"2016-06-08","CP1",19.8,0.375005900623456,0.348541960708543,5.71472241469454,0.198850858745165,33.3,3.01,6.65,6,2016,"Summer",7.1330298913053,6.75188089220303,1.54044504094715,5.16478597392351,110.666666666667,0.847297860387202,110
"2016-07-11","WT5",26.5,0.182321556793955,0.186479566942618,0.121597971747488,0.0861776962410524,37.2,2.93,7.23,7,2016,"Summer",6.69042811298937,5.73334127689775,4.95112116656385,4.4188406077966,7.33333333333333,2.83321334405622,201.666666666667
"2016-07-11","WT3",23.1,0.159564569671338,0.153579087928301,0.106519843377673,0.0769610411361284,31.8,2.7,7.1,7,2016,"Summer",6.27224787786861,5.09783183912641,3.8286413964891,3.40119738166216,3,1.99243016469021,210
"2016-07-11","AN5",23.2,0.206200830583898,0.199670195128568,0.138804962877182,0.104360015324243,14.8,1.26,7.17,7,2016,"Summer",6.53039160098485,3.69717825692863,5.20766299827991,3.46573590279973,2.66666666666667,2.33537491581704,83.3333333333333
"2016-07-11","WT4",24.5,0.199670195128568,0.198030850499135,0.134268620805034,0.0953101798043249,45.7,3.79,7.25,7,2016,"Summer",6.74484411570801,6.10702288774225,4.53617731450114,4.18459144006988,6,0.980829253011728,120
"2016-07-11","WT1",25.3,0.198030850499135,0.198850858745165,0.133043773757764,0.0953101798043249,69.8,3.73,7.31,7,2016,"Summer",6.55345845744837,5.76623548930275,4.52178857704904,4.42684065046367,7,0.980829253011728,150
"2016-07-11","AN2",23.3,0.144965770250186,0.140631129739746,0.096582097846244,0.0676586484738149,33.8,2.72,7.08,7,2016,"Summer",6.51520639614052,5.2661384681838,4.89783979995091,3.14988295338125,3.33333333333333,2.15948424935337,155
"2016-07-11","AN4",25.4,0.133656384812674,0.134530892957606,0.0889262091944015,0.0676586484738149,46.8,3.83,7.15,7,2016,"Summer",6.30322929007572,5.30991650239139,4.08317126162398,3.8286413964891,3.66666666666667,2.19722457733622,143.333333333333
